description,manufacturer,model,payment,price,release_year,body,color,doors,drive,engine_volume,fuel,seats,transmission,title,user_id
"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Lincoln,Continental,DAILY,17200,1999,VAN,BROWN,4,BACK,3.4,PETROL,2,AMT,In hac habitasse platea dictumst.,11
Vivamus tortor. Duis mattis egestas metus.,Honda,Passport,DAILY,15453,1997,WAGON,SILVER,3,FRONT,2.5,ELECTRIC,5,MT,Duis mattis egestas metus.,16
Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,BMW,7 Series,HOUR,21060,1995,COUPE,GRAY,3,FRONT,2.3,DIESEL,5,MT,Praesent lectus.,12
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",BMW,7 Series,HOUR,14330,1999,PICKUP,ORANGE,3,ALL,3.5,DIESEL,4,CVT,Quisque porta volutpat erat.,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,Ford,Taurus,DAILY,7433,1998,SUV,ORANGE,4,ALL,3.6,ELECTRIC,6,MT,Proin risus.,9
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Ferrari,612 Scaglietti,HOUR,24353,2010,HATCHBACK,GREEN,4,BACK,3.3,PETROL,6,AMT,Etiam vel augue.,3
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,Subaru,Impreza,DAILY,10685,2002,JEEP,BLUE,2,FRONT,1.6,ELECTRIC,5,AT,Praesent id massa id nisl venenatis lacinia.,2
In congue. Etiam justo. Etiam pretium iaculis justo.,Pontiac,Torrent,DAILY,13581,2009,VAN,PURPLE,2,ALL,1.2,GAS,5,MT,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",7
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Bentley,Mulsanne,HOUR,12395,2011,SEDAN,PURPLE,2,BACK,2.0,GAS,5,AT,Morbi porttitor lorem id ligula.,13
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,BMW,3 Series,HOUR,11864,1999,WAGON,YELLOW,4,ALL,1.2,PETROL,6,MT,Phasellus in felis.,18
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Mitsubishi,Pajero,HOUR,8598,1988,HATCHBACK,TAN,4,ALL,2.9,DIESEL,6,MT,In quis justo.,14
"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Suzuki,Equator,DAILY,18100,2009,WAGON,GREEN,4,FRONT,3.9,PETROL,4,CVT,Praesent lectus.,17
Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Chevrolet,Monte Carlo,DAILY,18458,1996,WAGON,BLUE,2,BACK,3.0,ELECTRIC,4,AMT,Integer ac leo.,13
In blandit ultrices enim.,Honda,Odyssey,HOUR,11572,2009,HATCHBACK,BLUE,3,ALL,2.7,PETROL,2,AT,Praesent lectus.,11
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Mitsubishi,Pajero,HOUR,12346,2005,COUPE,WHITE,3,BACK,2.6,PETROL,2,AT,Nam nulla.,5
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Dodge,Charger,HOUR,17960,2010,WAGON,GOLD,3,ALL,3.1,GAS,6,MT,Aenean fermentum.,20
"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Chrysler,Pacifica,HOUR,10950,2006,SUV,BLUE,2,BACK,1.6,PETROL,4,MT,Aenean auctor gravida sem.,13
Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Chevrolet,S10,HOUR,13389,1994,VAN,GOLD,4,BACK,3.5,DIESEL,6,CVT,Integer a nibh.,9
"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Dodge,Ram Van 1500,DAILY,20934,1998,SUV,BROWN,3,ALL,2.9,GAS,5,MT,Nulla tempus.,11
"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Mercury,Montego,HOUR,19806,2005,CONVERTIBLE,PURPLE,4,ALL,2.0,DIESEL,3,CVT,Proin at turpis a pede posuere nonummy.,16
"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",GMC,Envoy XL,HOUR,21475,2005,JEEP,SILVER,3,FRONT,2.4,ELECTRIC,6,AT,Maecenas ut massa quis augue luctus tincidunt.,14
Donec posuere metus vitae ipsum. Aliquam non mauris.,Nissan,Quest,HOUR,15708,2004,HATCHBACK,SILVER,3,BACK,2.3,GAS,3,MT,Aliquam quis turpis eget elit sodales scelerisque.,14
Nunc rhoncus dui vel sem.,Mercury,Topaz,DAILY,16334,1987,WAGON,ORANGE,2,ALL,3.9,ELECTRIC,2,AT,Integer non velit.,6
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",BMW,7 Series,HOUR,11138,1994,WAGON,YELLOW,4,FRONT,1.1,ELECTRIC,3,CVT,Mauris sit amet eros.,17
Nulla mollis molestie lorem.,GMC,Acadia,DAILY,10370,2010,PICKUP,ORANGE,2,BACK,3.2,GAS,2,AT,Ut at dolor quis odio consequat varius.,18
"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Saab,9-3,HOUR,20979,2004,VAN,RED,3,FRONT,1.2,DIESEL,5,AMT,Nam nulla.,4
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,BMW,5 Series,DAILY,23359,2012,PICKUP,WHITE,2,FRONT,1.7,DIESEL,3,AMT,Cras pellentesque volutpat dui.,7
"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Nissan,Armada,DAILY,6427,2012,WAGON,GREEN,4,BACK,1.5,PETROL,4,MT,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",17
In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,Chevrolet,Express,HOUR,7158,2007,COUPE,YELLOW,2,BACK,2.1,GAS,4,MT,Integer ac leo.,1
"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Acura,RL,HOUR,24480,2008,SUV,BLUE,3,BACK,2.3,ELECTRIC,4,CVT,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",10
"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Buick,Park Avenue,HOUR,15424,1993,COUPE,BLACK,4,FRONT,3.0,ELECTRIC,3,MT,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",2
Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Audi,S6,HOUR,12963,1995,JEEP,BLUE,3,BACK,2.0,DIESEL,5,CVT,Sed ante.,11
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Suzuki,Reno,DAILY,12596,2006,COUPE,ORANGE,2,BACK,1.7,ELECTRIC,2,MT,Morbi porttitor lorem id ligula.,17
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Dodge,D350 Club,HOUR,18898,1992,SEDAN,TAN,4,BACK,1.5,DIESEL,2,CVT,Maecenas tincidunt lacus at velit.,10
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Subaru,Legacy,DAILY,17200,1994,SUV,WHITE,3,BACK,3.9,ELECTRIC,3,CVT,Duis aliquam convallis nunc.,9
"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Infiniti,QX56,HOUR,7915,2012,HATCHBACK,PURPLE,4,FRONT,1.6,PETROL,4,AT,Duis ac nibh.,14
Sed ante. Vivamus tortor. Duis mattis egestas metus.,Hyundai,Elantra,HOUR,6742,1998,VAN,WHITE,4,ALL,1.8,DIESEL,4,AMT,Nulla nisl.,6
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",BMW,Z4 M,DAILY,6696,2008,COUPE,GRAY,3,FRONT,2.9,PETROL,6,AT,Nam dui.,4
Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Infiniti,G35,DAILY,7064,2007,SUV,BROWN,3,BACK,1.9,PETROL,4,CVT,Integer non velit.,11
"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Saab,900,DAILY,23920,1986,CONVERTIBLE,RED,3,FRONT,3.6,ELECTRIC,2,AT,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",10
Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Kia,Optima,HOUR,15489,2011,PICKUP,BLUE,2,BACK,3.9,DIESEL,4,MT,In hac habitasse platea dictumst.,8
Quisque ut erat. Curabitur gravida nisi at nibh.,Buick,Skyhawk,HOUR,23714,1986,CONVERTIBLE,GRAY,3,FRONT,2.1,DIESEL,4,CVT,Praesent lectus.,4
"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Nissan,240SX,HOUR,21634,1993,JEEP,GOLD,4,BACK,3.5,DIESEL,6,AMT,Fusce consequat.,10
Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,Isuzu,Trooper,DAILY,11038,2002,JEEP,BLACK,4,ALL,2.2,DIESEL,6,AT,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",16
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Mercedes-Benz,CLK-Class,HOUR,21971,2001,CONVERTIBLE,BROWN,3,ALL,2.7,ELECTRIC,3,MT,Morbi non quam nec dui luctus rutrum.,13
Pellentesque eget nunc.,GMC,Sierra 1500,HOUR,12224,2000,CONVERTIBLE,PURPLE,4,FRONT,1.0,DIESEL,2,AT,Vivamus in felis eu sapien cursus vestibulum.,16
"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Toyota,Echo,HOUR,17173,2003,SEDAN,WHITE,3,BACK,2.9,GAS,6,AT,Donec posuere metus vitae ipsum.,18
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Honda,CR-V,HOUR,6863,1998,PICKUP,GRAY,4,FRONT,1.9,GAS,6,AT,Proin interdum mauris non ligula pellentesque ultrices.,1
"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Buick,Century,HOUR,20942,2003,WAGON,ORANGE,3,FRONT,1.1,DIESEL,3,MT,Suspendisse potenti.,18
Praesent id massa id nisl venenatis lacinia.,Mercury,Cougar,DAILY,24259,1989,WAGON,BROWN,3,BACK,1.4,PETROL,6,AMT,Proin at turpis a pede posuere nonummy.,4
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Mitsubishi,Tredia,HOUR,17921,1986,COUPE,GRAY,3,ALL,1.4,ELECTRIC,2,AMT,Pellentesque at nulla.,10
"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",BMW,M Roadster,HOUR,22870,2006,SEDAN,TAN,3,FRONT,2.1,ELECTRIC,4,CVT,Nulla mollis molestie lorem.,4
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,GMC,Savana 1500,DAILY,12246,2007,VAN,ORANGE,3,FRONT,2.3,PETROL,4,AMT,Quisque ut erat.,13
Cras pellentesque volutpat dui.,Dodge,Ram Van 3500,HOUR,14841,1999,SEDAN,PURPLE,2,BACK,3.1,ELECTRIC,4,AT,In eleifend quam a odio.,13
Nullam porttitor lacus at turpis.,Chrysler,Town & Country,HOUR,20831,2004,COUPE,PURPLE,2,BACK,3.8,PETROL,4,MT,Aliquam erat volutpat.,18
"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Audi,A6,DAILY,24687,2006,JEEP,BLUE,2,FRONT,2.5,GAS,6,AMT,Cras pellentesque volutpat dui.,6
Proin at turpis a pede posuere nonummy. Integer non velit.,Nissan,Sentra,HOUR,15953,2003,WAGON,RED,2,FRONT,1.6,GAS,3,MT,Proin interdum mauris non ligula pellentesque ultrices.,2
"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Mazda,RX-7,HOUR,15563,1988,VAN,GOLD,3,BACK,2.1,DIESEL,4,AT,Aenean lectus.,9
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",Mercedes-Benz,R-Class,HOUR,6984,2009,CONVERTIBLE,WHITE,4,FRONT,3.8,PETROL,5,CVT,Morbi quis tortor id nulla ultrices aliquet.,17
"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Mitsubishi,Galant,DAILY,20717,1994,WAGON,GOLD,4,BACK,1.1,GAS,3,MT,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",6
Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,Mitsubishi,Galant,DAILY,5019,2001,VAN,ORANGE,2,ALL,1.4,ELECTRIC,2,AMT,Nullam varius.,2
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",Chevrolet,Express 1500,HOUR,14503,2002,SEDAN,BLACK,2,ALL,3.0,DIESEL,3,CVT,Vivamus tortor.,18
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",Porsche,928,HOUR,7273,1995,CONVERTIBLE,GRAY,3,BACK,2.4,DIESEL,4,AMT,Curabitur gravida nisi at nibh.,6
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Dodge,Neon,HOUR,21785,1999,CONVERTIBLE,YELLOW,2,BACK,3.7,PETROL,5,CVT,Proin interdum mauris non ligula pellentesque ultrices.,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,Suzuki,Esteem,HOUR,7424,2000,SUV,WHITE,3,BACK,2.8,GAS,3,CVT,Etiam vel augue.,7
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,Toyota,Tacoma,DAILY,19138,2005,SEDAN,GREEN,3,ALL,2.2,PETROL,3,CVT,Vivamus in felis eu sapien cursus vestibulum.,7
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Buick,Park Avenue,HOUR,16144,2004,SEDAN,BLACK,2,BACK,2.7,ELECTRIC,6,AMT,Vivamus tortor.,3
Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Ford,Aspire,DAILY,21752,1996,WAGON,BLUE,4,BACK,2.7,PETROL,6,AT,Aenean auctor gravida sem.,15
In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Ford,Taurus,HOUR,15956,2003,VAN,YELLOW,2,BACK,1.9,DIESEL,6,MT,Vestibulum sed magna at nunc commodo placerat.,16
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",Chevrolet,Express 3500,DAILY,23209,2010,SUV,TAN,2,BACK,3.3,PETROL,4,CVT,Duis mattis egestas metus.,20
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,GMC,Sierra 2500HD,HOUR,13550,2006,PICKUP,TAN,2,ALL,2.0,PETROL,3,AT,Praesent blandit lacinia erat.,10
Morbi a ipsum. Integer a nibh. In quis justo.,Volkswagen,New Beetle,DAILY,12387,2001,WAGON,WHITE,3,ALL,1.4,DIESEL,5,AT,Phasellus sit amet erat.,6
Nulla ac enim.,Pontiac,Sunbird,DAILY,16291,1989,COUPE,GRAY,2,ALL,1.0,ELECTRIC,2,AMT,Praesent blandit lacinia erat.,16
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Mitsubishi,Endeavor,DAILY,11772,2010,WAGON,YELLOW,2,BACK,2.8,GAS,3,MT,Nam tristique tortor eu pede.,9
"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Hyundai,Genesis,DAILY,12499,2011,JEEP,WHITE,3,BACK,2.9,GAS,2,AT,Nullam porttitor lacus at turpis.,3
Nulla nisl.,Mitsubishi,Starion,DAILY,11371,1986,PICKUP,PURPLE,2,BACK,3.3,DIESEL,4,AT,Nunc nisl.,13
In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,GMC,Yukon,DAILY,9046,2006,COUPE,ORANGE,3,FRONT,3.3,DIESEL,2,AMT,Suspendisse accumsan tortor quis turpis.,8
"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Pontiac,Sunbird,DAILY,11714,1988,CONVERTIBLE,YELLOW,3,BACK,1.7,ELECTRIC,4,AMT,Integer ac neque.,12
"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Land Rover,Defender,DAILY,8516,1992,HATCHBACK,BROWN,3,BACK,1.4,ELECTRIC,4,AT,Aliquam quis turpis eget elit sodales scelerisque.,13
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Honda,Element,DAILY,9971,2010,COUPE,SILVER,2,ALL,1.8,PETROL,3,AMT,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",10
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Mercedes-Benz,GLK-Class,DAILY,6158,2010,COUPE,GREEN,3,ALL,1.7,PETROL,6,CVT,In congue.,4
Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Mercedes-Benz,S-Class,HOUR,18361,2001,HATCHBACK,SILVER,4,BACK,2.7,DIESEL,3,AMT,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,3
"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Subaru,Legacy,DAILY,24666,2003,PICKUP,ORANGE,2,FRONT,1.4,DIESEL,6,CVT,Aenean lectus.,4
Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Jeep,Grand Cherokee,HOUR,14846,2012,COUPE,BLUE,3,ALL,1.2,DIESEL,5,CVT,Donec posuere metus vitae ipsum.,8
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Ford,E150,HOUR,21944,2006,JEEP,GREEN,3,ALL,1.4,PETROL,4,CVT,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",10
Aliquam erat volutpat.,Jeep,Cherokee,HOUR,10356,1993,JEEP,BLACK,3,FRONT,1.6,ELECTRIC,6,AMT,Nulla justo.,3
"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",GMC,Rally Wagon 1500,DAILY,12145,1992,PICKUP,BROWN,4,ALL,2.4,ELECTRIC,5,MT,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5
